pyramid_t80_a120_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,12,0.75,0.11764705882352941,0.4338235294117647
D311.M.250.I.13,18,0.5,0.17647058823529413,0.3382352941176471
D311.M.250.I.17,17,0.53125,0.16666666666666666,0.3489583333333333
D311.M.250.I.24,9,0.75,0.08823529411764706,0.41911764705882354
D311.M.250.I.26,11,0.4583333333333333,0.10784313725490197,0.28308823529411764
D311.M.250.I.28,9,0.5625,0.08823529411764706,0.32536764705882354
D311.M.250.I.15,7,0.35,0.06862745098039216,0.20931372549019606
D311.M.250.I.21,12,0.75,0.11764705882352941,0.4338235294117647
D311.M.250.I.23,6,0.75,0.058823529411764705,0.40441176470588236
D311.M.250.I.16,16,0.5,0.1568627450980392,0.3284313725490196
D311.M.250.I.12,10,0.5,0.09803921568627451,0.29901960784313725
D311.M.250.I.16,16,0.5,0.1568627450980392,0.3284313725490196
D311.M.250.I.6,11,0.4583333333333333,0.10784313725490197,0.28308823529411764
D311.M.250.I.25,15,0.5357142857142857,0.14705882352941177,0.34138655462184875
D311.M.250.I.26,11,0.4583333333333333,0.10784313725490197,0.28308823529411764
D311.M.250.I.19,14,0.5833333333333334,0.13725490196078433,0.3602941176470589
D311.M.250.I.C,12,0.42857142857142855,0.11764705882352941,0.27310924369747897
D311.M.250.I.27,9,0.75,0.08823529411764706,0.41911764705882354
D311.M.250.I.19,14,0.5833333333333334,0.13725490196078433,0.3602941176470589
D311.M.250.I.14,8,0.4,0.0784313725490196,0.23921568627450981
D311.M.250.I.11,10,0.5,0.09803921568627451,0.29901960784313725
D311.M.250.I.14,8,0.4,0.0784313725490196,0.23921568627450981
D311.M.250.I.7,13,0.4642857142857143,0.12745098039215685,0.2958683473389356
D311.M.250.I.B,12,0.5,0.11764705882352941,0.3088235294117647
D311.M.250.I.23,6,0.75,0.058823529411764705,0.40441176470588236
D311.M.250.I.25,15,0.5357142857142857,0.14705882352941177,0.34138655462184875
D311.M.250.I.17,17,0.53125,0.16666666666666666,0.3489583333333333
D311.M.250.I.32,7,0.5833333333333334,0.06862745098039216,0.32598039215686275
D311.M.250.I.31,11,0.6875,0.10784313725490197,0.397671568627451
D311.M.250.I.3,16,0.4444444444444444,0.1568627450980392,0.3006535947712418
D311.M.250.I.1,6,0.75,0.058823529411764705,0.40441176470588236
D311.M.250.I.12,10,0.5,0.09803921568627451,0.29901960784313725
D311.M.250.I.20,3,0.375,0.029411764705882353,0.20220588235294118
D311.M.250.I.27,9,0.75,0.08823529411764706,0.41911764705882354
D311.M.250.I.10,13,0.4642857142857143,0.12745098039215685,0.2958683473389356
D311.M.250.I.13,18,0.5,0.17647058823529413,0.3382352941176471
D311.M.250.I.4,11,0.39285714285714285,0.10784313725490197,0.2503501400560224
D311.M.250.I.30,11,0.55,0.10784313725490197,0.32892156862745103
