pyramid_t80_a170_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,16,0.64,0.1,0.37
D311.M.250.I.13,22,0.6285714285714286,0.1375,0.38303571428571426
D311.M.250.I.17,13,0.52,0.08125,0.30062500000000003
D311.M.250.I.24,9,0.6,0.05625,0.328125
D311.M.250.I.26,16,0.64,0.1,0.37
D311.M.250.I.28,8,0.4,0.05,0.225
D311.M.250.I.15,13,0.65,0.08125,0.36562500000000003
D311.M.250.I.21,16,0.64,0.1,0.37
D311.M.250.I.23,7,0.7,0.04375,0.37187499999999996
D311.M.250.I.16,15,0.5,0.09375,0.296875
D311.M.250.I.12,16,0.64,0.1,0.37
D311.M.250.I.16,15,0.5,0.09375,0.296875
D311.M.250.I.6,19,0.76,0.11875,0.439375
D311.M.250.I.25,15,0.6,0.09375,0.346875
D311.M.250.I.26,16,0.64,0.1,0.37
D311.M.250.I.19,8,0.5333333333333333,0.05,0.2916666666666667
D311.M.250.I.C,15,0.6,0.09375,0.346875
D311.M.250.I.27,17,0.68,0.10625,0.393125
D311.M.250.I.19,8,0.5333333333333333,0.05,0.2916666666666667
D311.M.250.I.14,11,0.55,0.06875,0.309375
D311.M.250.I.11,13,0.65,0.08125,0.36562500000000003
D311.M.250.I.14,11,0.55,0.06875,0.309375
D311.M.250.I.7,11,0.55,0.06875,0.309375
D311.M.250.I.B,19,0.6333333333333333,0.11875,0.37604166666666666
D311.M.250.I.23,7,0.7,0.04375,0.37187499999999996
D311.M.250.I.25,15,0.6,0.09375,0.346875
D311.M.250.I.17,13,0.52,0.08125,0.30062500000000003
D311.M.250.I.32,8,0.5333333333333333,0.05,0.2916666666666667
D311.M.250.I.31,11,0.7333333333333333,0.06875,0.40104166666666663
D311.M.250.I.3,12,0.34285714285714286,0.075,0.20892857142857144
D311.M.250.I.1,12,0.48,0.075,0.27749999999999997
D311.M.250.I.12,16,0.64,0.1,0.37
D311.M.250.I.20,5,0.5,0.03125,0.265625
D311.M.250.I.27,17,0.68,0.10625,0.393125
D311.M.250.I.10,13,0.52,0.08125,0.30062500000000003
D311.M.250.I.13,22,0.6285714285714286,0.1375,0.38303571428571426
D311.M.250.I.4,15,0.75,0.09375,0.421875
D311.M.250.I.30,7,0.7,0.04375,0.37187499999999996
