pyramid_t80_a172_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,13,0.65,0.08496732026143791,0.367483660130719
D311.M.250.I.13,17,0.5666666666666667,0.1111111111111111,0.3388888888888889
D311.M.250.I.17,14,0.56,0.0915032679738562,0.32575163398692814
D311.M.250.I.24,10,0.6666666666666666,0.06535947712418301,0.3660130718954248
D311.M.250.I.26,17,0.5666666666666667,0.1111111111111111,0.3388888888888889
D311.M.250.I.28,11,0.55,0.0718954248366013,0.31094771241830066
D311.M.250.I.15,12,0.6,0.0784313725490196,0.3392156862745098
D311.M.250.I.21,13,0.65,0.08496732026143791,0.367483660130719
D311.M.250.I.23,7,0.7,0.0457516339869281,0.372875816993464
D311.M.250.I.16,17,0.68,0.1111111111111111,0.39555555555555555
D311.M.250.I.12,15,0.75,0.09803921568627451,0.42401960784313725
D311.M.250.I.16,17,0.68,0.1111111111111111,0.39555555555555555
D311.M.250.I.6,14,0.56,0.0915032679738562,0.32575163398692814
D311.M.250.I.25,18,0.6,0.11764705882352941,0.3588235294117647
D311.M.250.I.26,17,0.5666666666666667,0.1111111111111111,0.3388888888888889
D311.M.250.I.19,10,0.6666666666666666,0.06535947712418301,0.3660130718954248
D311.M.250.I.C,23,0.6571428571428571,0.1503267973856209,0.40373482726423904
D311.M.250.I.27,18,0.72,0.11764705882352941,0.4188235294117647
D311.M.250.I.19,10,0.6666666666666666,0.06535947712418301,0.3660130718954248
D311.M.250.I.14,9,0.36,0.058823529411764705,0.20941176470588235
D311.M.250.I.11,11,0.7333333333333333,0.0718954248366013,0.4026143790849673
D311.M.250.I.14,9,0.36,0.058823529411764705,0.20941176470588235
D311.M.250.I.7,19,0.76,0.12418300653594772,0.44209150326797386
D311.M.250.I.B,22,0.6285714285714286,0.1437908496732026,0.38618113912231555
D311.M.250.I.23,7,0.7,0.0457516339869281,0.372875816993464
D311.M.250.I.25,18,0.6,0.11764705882352941,0.3588235294117647
D311.M.250.I.17,14,0.56,0.0915032679738562,0.32575163398692814
D311.M.250.I.32,6,0.6,0.0392156862745098,0.3196078431372549
D311.M.250.I.31,17,0.68,0.1111111111111111,0.39555555555555555
D311.M.250.I.3,15,0.375,0.09803921568627451,0.23651960784313725
D311.M.250.I.1,12,0.6,0.0784313725490196,0.3392156862745098
D311.M.250.I.12,15,0.75,0.09803921568627451,0.42401960784313725
D311.M.250.I.20,5,0.5,0.032679738562091505,0.26633986928104575
D311.M.250.I.27,18,0.72,0.11764705882352941,0.4188235294117647
D311.M.250.I.10,11,0.55,0.0718954248366013,0.31094771241830066
D311.M.250.I.13,17,0.5666666666666667,0.1111111111111111,0.3388888888888889
D311.M.250.I.4,16,0.45714285714285713,0.10457516339869281,0.280859010270775
D311.M.250.I.30,11,0.44,0.0718954248366013,0.25594771241830067
