pyramid_t80_a131_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,4,0.5,0.0425531914893617,0.2712765957446808
D311.M.250.I.13,19,0.59375,0.20212765957446807,0.39793882978723405
D311.M.250.I.17,10,0.5,0.10638297872340426,0.30319148936170215
D311.M.250.I.24,10,0.5,0.10638297872340426,0.30319148936170215
D311.M.250.I.26,10,0.625,0.10638297872340426,0.36569148936170215
D311.M.250.I.28,3,0.75,0.031914893617021274,0.39095744680851063
D311.M.250.I.15,10,0.625,0.10638297872340426,0.36569148936170215
D311.M.250.I.21,4,0.5,0.0425531914893617,0.2712765957446808
D311.M.250.I.23,6,0.75,0.06382978723404255,0.40691489361702127
D311.M.250.I.16,11,0.55,0.11702127659574468,0.33351063829787236
D311.M.250.I.12,7,0.875,0.07446808510638298,0.4747340425531915
D311.M.250.I.16,11,0.55,0.11702127659574468,0.33351063829787236
D311.M.250.I.6,10,0.5,0.10638297872340426,0.30319148936170215
D311.M.250.I.25,16,0.6666666666666666,0.1702127659574468,0.41843971631205673
D311.M.250.I.26,10,0.625,0.10638297872340426,0.36569148936170215
D311.M.250.I.19,5,0.625,0.05319148936170213,0.3390957446808511
D311.M.250.I.C,21,0.65625,0.22340425531914893,0.43982712765957444
D311.M.250.I.27,9,0.75,0.09574468085106383,0.4228723404255319
D311.M.250.I.19,5,0.625,0.05319148936170213,0.3390957446808511
D311.M.250.I.14,9,0.45,0.09574468085106383,0.27287234042553193
D311.M.250.I.11,9,0.75,0.09574468085106383,0.4228723404255319
D311.M.250.I.14,9,0.45,0.09574468085106383,0.27287234042553193
D311.M.250.I.7,7,0.5833333333333334,0.07446808510638298,0.32890070921985815
D311.M.250.I.B,10,0.4166666666666667,0.10638297872340426,0.26152482269503546
D311.M.250.I.23,6,0.75,0.06382978723404255,0.40691489361702127
D311.M.250.I.25,16,0.6666666666666666,0.1702127659574468,0.41843971631205673
D311.M.250.I.17,10,0.5,0.10638297872340426,0.30319148936170215
D311.M.250.I.32,9,0.75,0.09574468085106383,0.4228723404255319
D311.M.250.I.31,8,0.5,0.0851063829787234,0.2925531914893617
D311.M.250.I.3,7,0.2916666666666667,0.07446808510638298,0.18306737588652483
D311.M.250.I.1,2,0.5,0.02127659574468085,0.26063829787234044
D311.M.250.I.12,7,0.875,0.07446808510638298,0.4747340425531915
D311.M.250.I.20,1,0.25,0.010638297872340425,0.13031914893617022
D311.M.250.I.27,9,0.75,0.09574468085106383,0.4228723404255319
D311.M.250.I.10,8,0.4,0.0851063829787234,0.24255319148936172
D311.M.250.I.13,19,0.59375,0.20212765957446807,0.39793882978723405
D311.M.250.I.4,11,0.4583333333333333,0.11702127659574468,0.287677304964539
D311.M.250.I.30,8,0.6666666666666666,0.0851063829787234,0.375886524822695
