pyramid_t80_a115_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,13,0.5416666666666666,0.14285714285714285,0.34226190476190477
D311.M.250.I.13,15,0.46875,0.16483516483516483,0.3167925824175824
D311.M.250.I.17,13,0.65,0.14285714285714285,0.39642857142857146
D311.M.250.I.24,7,0.5833333333333334,0.07692307692307693,0.3301282051282052
D311.M.250.I.26,10,0.625,0.10989010989010989,0.36744505494505497
D311.M.250.I.28,3,0.375,0.03296703296703297,0.20398351648351648
D311.M.250.I.15,11,0.6875,0.12087912087912088,0.40418956043956045
D311.M.250.I.21,13,0.5416666666666666,0.14285714285714285,0.34226190476190477
D311.M.250.I.23,6,0.75,0.06593406593406594,0.40796703296703296
D311.M.250.I.16,15,0.625,0.16483516483516483,0.3949175824175824
D311.M.250.I.12,12,0.75,0.13186813186813187,0.4409340659340659
D311.M.250.I.16,15,0.625,0.16483516483516483,0.3949175824175824
D311.M.250.I.6,11,0.6875,0.12087912087912088,0.40418956043956045
D311.M.250.I.25,11,0.9166666666666666,0.12087912087912088,0.5187728937728937
D311.M.250.I.26,10,0.625,0.10989010989010989,0.36744505494505497
D311.M.250.I.19,7,0.5833333333333334,0.07692307692307693,0.3301282051282052
D311.M.250.I.C,12,0.75,0.13186813186813187,0.4409340659340659
D311.M.250.I.27,11,0.6875,0.12087912087912088,0.40418956043956045
D311.M.250.I.19,7,0.5833333333333334,0.07692307692307693,0.3301282051282052
D311.M.250.I.14,9,0.75,0.0989010989010989,0.42445054945054944
D311.M.250.I.11,5,0.625,0.054945054945054944,0.3399725274725275
D311.M.250.I.14,9,0.75,0.0989010989010989,0.42445054945054944
D311.M.250.I.7,8,0.5,0.08791208791208792,0.29395604395604397
D311.M.250.I.B,12,0.6,0.13186813186813187,0.3659340659340659
D311.M.250.I.23,6,0.75,0.06593406593406594,0.40796703296703296
D311.M.250.I.25,11,0.9166666666666666,0.12087912087912088,0.5187728937728937
D311.M.250.I.17,13,0.65,0.14285714285714285,0.39642857142857146
D311.M.250.I.32,7,0.4375,0.07692307692307693,0.25721153846153844
D311.M.250.I.31,10,0.625,0.10989010989010989,0.36744505494505497
D311.M.250.I.3,8,0.3333333333333333,0.08791208791208792,0.21062271062271062
D311.M.250.I.1,8,0.5,0.08791208791208792,0.29395604395604397
D311.M.250.I.12,12,0.75,0.13186813186813187,0.4409340659340659
D311.M.250.I.20,4,1.0,0.04395604395604396,0.521978021978022
D311.M.250.I.27,11,0.6875,0.12087912087912088,0.40418956043956045
D311.M.250.I.10,9,0.5625,0.0989010989010989,0.33070054945054944
D311.M.250.I.13,15,0.46875,0.16483516483516483,0.3167925824175824
D311.M.250.I.4,10,0.5,0.10989010989010989,0.30494505494505497
D311.M.250.I.30,6,0.75,0.06593406593406594,0.40796703296703296
