pyramid_t83_a190_b2.5
Summary,raw,quality,coverage,Comprehensive
S33.txt,19,0.5135135135135135,0.5135135135135135,0.5135135135135135
S13.txt,18,0.5142857142857142,0.4864864864864865,0.5003861003861003
S26.txt,7,0.22580645161290322,0.1891891891891892,0.2074978204010462
S32.txt,4,0.2,0.10810810810810811,0.15405405405405406
S24.txt,3,0.15,0.08108108108108109,0.11554054054054054
S29.txt,14,0.45161290322580644,0.3783783783783784,0.4149956408020924
S17.txt,22,0.4583333333333333,0.5945945945945946,0.526463963963964
S8.txt,10,0.5882352941176471,0.2702702702702703,0.4292527821939587
S12.txt,9,0.20930232558139536,0.24324324324324326,0.2262727844123193
S21.txt,2,0.2222222222222222,0.05405405405405406,0.13813813813813813
S7.txt,11,0.3142857142857143,0.2972972972972973,0.3057915057915058
S27.txt,10,0.38461538461538464,0.2702702702702703,0.3274428274428275
S1.txt,8,0.3076923076923077,0.21621621621621623,0.26195426195426197
S35.txt,15,0.36585365853658536,0.40540540540540543,0.38562953197099537
S14.txt,6,0.14634146341463414,0.16216216216216217,0.15425181278839817
S19.txt,7,0.30434782608695654,0.1891891891891892,0.24676850763807287
S15.txt,10,0.2564102564102564,0.2702702702702703,0.26334026334026334
S41.txt,9,0.34615384615384615,0.24324324324324326,0.29469854469854473
S38.txt,12,0.36363636363636365,0.32432432432432434,0.343980343980344
S28.txt,3,0.23076923076923078,0.08108108108108109,0.15592515592515593
S25.txt,14,0.2857142857142857,0.3783783783783784,0.33204633204633205
S18.txt,4,0.23529411764705882,0.10810810810810811,0.17170111287758347
S22.txt,14,0.2641509433962264,0.3783783783783784,0.32126466088730243
S23.txt,19,0.5428571428571428,0.5135135135135135,0.5281853281853282
s50.txt,9,0.5294117647058824,0.24324324324324326,0.38632750397456284
S37.txt,17,0.3541666666666667,0.4594594594594595,0.4068130630630631
S3.txt,4,0.2,0.10810810810810811,0.15405405405405406
S2.txt,4,0.10256410256410256,0.10810810810810811,0.10533610533610534
S9.txt,4,0.3076923076923077,0.10810810810810811,0.2079002079002079
S40.txt,6,0.2608695652173913,0.16216216216216217,0.21151586368977673
S4.txt,9,0.391304347826087,0.24324324324324326,0.3172737955346651
S31.txt,6,0.3,0.16216216216216217,0.23108108108108108
S5.txt,4,0.3076923076923077,0.10810810810810811,0.2079002079002079
S34.txt,4,0.4444444444444444,0.10810810810810811,0.27627627627627627
S16.txt,14,0.5384615384615384,0.3783783783783784,0.4584199584199584
S36.txt,3,0.3333333333333333,0.08108108108108109,0.2072072072072072
s42_new.txt,4,0.2,0.10810810810810811,0.15405405405405406
S10.txt,4,0.23529411764705882,0.10810810810810811,0.17170111287758347
S11.txt,12,0.32432432432432434,0.32432432432432434,0.32432432432432434
S6.txt,5,0.14285714285714285,0.13513513513513514,0.138996138996139
S39.txt,7,0.30434782608695654,0.1891891891891892,0.24676850763807287
S20.txt,2,0.11764705882352941,0.05405405405405406,0.08585055643879173
pyramid_t83_a190_b2.5
Summary,raw,quality,coverage,Comprehensive
S33.txt,19,0.5135135135135135,0.5135135135135135,0.5135135135135135
S13.txt,18,0.5142857142857142,0.4864864864864865,0.5003861003861003
S26.txt,7,0.22580645161290322,0.1891891891891892,0.2074978204010462
S32.txt,4,0.2,0.10810810810810811,0.15405405405405406
S24.txt,3,0.15,0.08108108108108109,0.11554054054054054
S29.txt,14,0.45161290322580644,0.3783783783783784,0.4149956408020924
S17.txt,22,0.4583333333333333,0.5945945945945946,0.526463963963964
S8.txt,10,0.5882352941176471,0.2702702702702703,0.4292527821939587
S12.txt,9,0.20930232558139536,0.24324324324324326,0.2262727844123193
S21.txt,2,0.2222222222222222,0.05405405405405406,0.13813813813813813
S7.txt,11,0.3142857142857143,0.2972972972972973,0.3057915057915058
S27.txt,10,0.38461538461538464,0.2702702702702703,0.3274428274428275
S1.txt,8,0.3076923076923077,0.21621621621621623,0.26195426195426197
S35.txt,15,0.36585365853658536,0.40540540540540543,0.38562953197099537
S14.txt,6,0.14634146341463414,0.16216216216216217,0.15425181278839817
S19.txt,7,0.30434782608695654,0.1891891891891892,0.24676850763807287
S15.txt,10,0.2564102564102564,0.2702702702702703,0.26334026334026334
S41.txt,9,0.34615384615384615,0.24324324324324326,0.29469854469854473
S38.txt,12,0.36363636363636365,0.32432432432432434,0.343980343980344
S28.txt,3,0.23076923076923078,0.08108108108108109,0.15592515592515593
S25.txt,14,0.2857142857142857,0.3783783783783784,0.33204633204633205
S18.txt,4,0.23529411764705882,0.10810810810810811,0.17170111287758347
S22.txt,14,0.2641509433962264,0.3783783783783784,0.32126466088730243
S23.txt,19,0.5428571428571428,0.5135135135135135,0.5281853281853282
s50.txt,9,0.5294117647058824,0.24324324324324326,0.38632750397456284
S37.txt,17,0.3541666666666667,0.4594594594594595,0.4068130630630631
S3.txt,4,0.2,0.10810810810810811,0.15405405405405406
S2.txt,4,0.10256410256410256,0.10810810810810811,0.10533610533610534
S9.txt,4,0.3076923076923077,0.10810810810810811,0.2079002079002079
S40.txt,6,0.2608695652173913,0.16216216216216217,0.21151586368977673
S4.txt,9,0.391304347826087,0.24324324324324326,0.3172737955346651
S31.txt,6,0.3,0.16216216216216217,0.23108108108108108
S5.txt,4,0.3076923076923077,0.10810810810810811,0.2079002079002079
S34.txt,4,0.4444444444444444,0.10810810810810811,0.27627627627627627
S16.txt,14,0.5384615384615384,0.3783783783783784,0.4584199584199584
S36.txt,3,0.3333333333333333,0.08108108108108109,0.2072072072072072
s42_new.txt,4,0.2,0.10810810810810811,0.15405405405405406
