pyramid_t80_a118_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,13,0.65,0.1262135922330097,0.3881067961165049
D311.M.250.I.13,16,0.6666666666666666,0.1553398058252427,0.4110032362459547
D311.M.250.I.17,15,0.5357142857142857,0.14563106796116504,0.3406726768377254
D311.M.250.I.24,11,0.9166666666666666,0.10679611650485436,0.5117313915857605
D311.M.250.I.26,12,0.5,0.11650485436893204,0.308252427184466
D311.M.250.I.28,6,0.5,0.05825242718446602,0.279126213592233
D311.M.250.I.15,8,0.5,0.07766990291262135,0.28883495145631066
D311.M.250.I.21,13,0.65,0.1262135922330097,0.3881067961165049
D311.M.250.I.23,6,0.75,0.05825242718446602,0.404126213592233
D311.M.250.I.16,20,0.625,0.1941747572815534,0.4095873786407767
D311.M.250.I.12,14,0.7,0.13592233009708737,0.41796116504854364
D311.M.250.I.16,20,0.625,0.1941747572815534,0.4095873786407767
D311.M.250.I.6,9,0.5625,0.08737864077669903,0.3249393203883495
D311.M.250.I.25,13,0.5416666666666666,0.1262135922330097,0.3339401294498382
D311.M.250.I.26,12,0.5,0.11650485436893204,0.308252427184466
D311.M.250.I.19,10,0.5,0.0970873786407767,0.29854368932038833
D311.M.250.I.C,12,0.6,0.11650485436893204,0.35825242718446604
D311.M.250.I.27,10,0.625,0.0970873786407767,0.36104368932038833
D311.M.250.I.19,10,0.5,0.0970873786407767,0.29854368932038833
D311.M.250.I.14,10,0.625,0.0970873786407767,0.36104368932038833
D311.M.250.I.11,1,0.25,0.009708737864077669,0.12985436893203883
D311.M.250.I.14,10,0.625,0.0970873786407767,0.36104368932038833
D311.M.250.I.7,15,0.75,0.14563106796116504,0.4478155339805825
D311.M.250.I.B,13,0.8125,0.1262135922330097,0.4693567961165048
D311.M.250.I.23,6,0.75,0.05825242718446602,0.404126213592233
D311.M.250.I.25,13,0.5416666666666666,0.1262135922330097,0.3339401294498382
D311.M.250.I.17,15,0.5357142857142857,0.14563106796116504,0.3406726768377254
D311.M.250.I.32,5,0.4166666666666667,0.04854368932038835,0.2326051779935275
D311.M.250.I.31,9,0.5625,0.08737864077669903,0.3249393203883495
D311.M.250.I.3,11,0.34375,0.10679611650485436,0.2252730582524272
D311.M.250.I.1,7,0.5833333333333334,0.06796116504854369,0.3256472491909385
D311.M.250.I.12,14,0.7,0.13592233009708737,0.41796116504854364
D311.M.250.I.20,2,0.5,0.019417475728155338,0.25970873786407767
D311.M.250.I.27,10,0.625,0.0970873786407767,0.36104368932038833
D311.M.250.I.10,11,0.6875,0.10679611650485436,0.39714805825242716
D311.M.250.I.13,16,0.6666666666666666,0.1553398058252427,0.4110032362459547
D311.M.250.I.4,13,0.5416666666666666,0.1262135922330097,0.3339401294498382
D311.M.250.I.30,5,0.625,0.04854368932038835,0.33677184466019416
