pyramid_t80_a99_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,11,0.39285714285714285,0.102803738317757,0.24783044058744993
D311.M.250.I.13,17,0.7083333333333334,0.1588785046728972,0.4336059190031153
D311.M.250.I.17,7,0.5833333333333334,0.06542056074766354,0.32437694704049846
D311.M.250.I.24,7,0.5833333333333334,0.06542056074766354,0.32437694704049846
D311.M.250.I.26,12,0.5,0.11214953271028037,0.3060747663551402
D311.M.250.I.28,7,0.4375,0.06542056074766354,0.2514602803738318
D311.M.250.I.15,10,0.625,0.09345794392523364,0.3592289719626168
D311.M.250.I.21,11,0.39285714285714285,0.102803738317757,0.24783044058744993
D311.M.250.I.23,4,0.5,0.037383177570093455,0.26869158878504673
D311.M.250.I.16,14,0.7,0.1308411214953271,0.41542056074766354
D311.M.250.I.12,13,0.65,0.12149532710280374,0.3857476635514019
D311.M.250.I.16,14,0.7,0.1308411214953271,0.41542056074766354
D311.M.250.I.6,11,0.6875,0.102803738317757,0.3951518691588785
D311.M.250.I.25,13,0.65,0.12149532710280374,0.3857476635514019
D311.M.250.I.26,12,0.5,0.11214953271028037,0.3060747663551402
D311.M.250.I.19,11,0.4583333333333333,0.102803738317757,0.28056853582554514
D311.M.250.I.C,11,0.55,0.102803738317757,0.32640186915887853
D311.M.250.I.27,11,0.6875,0.102803738317757,0.3951518691588785
D311.M.250.I.19,11,0.4583333333333333,0.102803738317757,0.28056853582554514
D311.M.250.I.14,5,0.4166666666666667,0.04672897196261682,0.23169781931464176
D311.M.250.I.11,9,0.5625,0.08411214953271028,0.32330607476635514
D311.M.250.I.14,5,0.4166666666666667,0.04672897196261682,0.23169781931464176
D311.M.250.I.7,10,0.625,0.09345794392523364,0.3592289719626168
D311.M.250.I.B,19,0.6785714285714286,0.17757009345794392,0.4280707610146863
D311.M.250.I.23,4,0.5,0.037383177570093455,0.26869158878504673
D311.M.250.I.25,13,0.65,0.12149532710280374,0.3857476635514019
D311.M.250.I.17,7,0.5833333333333334,0.06542056074766354,0.32437694704049846
D311.M.250.I.32,9,0.75,0.08411214953271028,0.41705607476635514
D311.M.250.I.31,15,0.75,0.14018691588785046,0.44509345794392524
D311.M.250.I.3,14,0.5,0.1308411214953271,0.31542056074766356
D311.M.250.I.1,10,0.625,0.09345794392523364,0.3592289719626168
D311.M.250.I.12,13,0.65,0.12149532710280374,0.3857476635514019
D311.M.250.I.20,3,0.375,0.028037383177570093,0.20151869158878505
D311.M.250.I.27,11,0.6875,0.102803738317757,0.3951518691588785
D311.M.250.I.10,10,0.625,0.09345794392523364,0.3592289719626168
D311.M.250.I.13,17,0.7083333333333334,0.1588785046728972,0.4336059190031153
D311.M.250.I.4,12,0.6,0.11214953271028037,0.3560747663551402
D311.M.250.I.30,6,0.75,0.056074766355140186,0.4030373831775701
