pyramid_t80_a146_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,14,0.4666666666666667,0.0945945945945946,0.28063063063063065
D311.M.250.I.13,20,0.5714285714285714,0.13513513513513514,0.35328185328185324
D311.M.250.I.17,10,0.6666666666666666,0.06756756756756757,0.3671171171171171
D311.M.250.I.24,11,0.7333333333333333,0.07432432432432433,0.4038288288288288
D311.M.250.I.26,11,0.36666666666666664,0.07432432432432433,0.2204954954954955
D311.M.250.I.28,7,0.4666666666666667,0.0472972972972973,0.25698198198198197
D311.M.250.I.15,12,0.6,0.08108108108108109,0.3405405405405405
D311.M.250.I.21,14,0.4666666666666667,0.0945945945945946,0.28063063063063065
D311.M.250.I.23,5,1.0,0.033783783783783786,0.5168918918918919
D311.M.250.I.16,13,0.65,0.08783783783783784,0.3689189189189189
D311.M.250.I.12,12,0.48,0.08108108108108109,0.28054054054054056
D311.M.250.I.16,13,0.65,0.08783783783783784,0.3689189189189189
D311.M.250.I.6,17,0.68,0.11486486486486487,0.3974324324324325
D311.M.250.I.25,16,0.64,0.10810810810810811,0.37405405405405406
D311.M.250.I.26,11,0.36666666666666664,0.07432432432432433,0.2204954954954955
D311.M.250.I.19,7,0.7,0.0472972972972973,0.3736486486486486
D311.M.250.I.C,16,0.5333333333333333,0.10810810810810811,0.3207207207207207
D311.M.250.I.27,8,0.8,0.05405405405405406,0.42702702702702705
D311.M.250.I.19,7,0.7,0.0472972972972973,0.3736486486486486
D311.M.250.I.14,9,0.36,0.060810810810810814,0.2104054054054054
D311.M.250.I.11,6,0.4,0.04054054054054054,0.2202702702702703
D311.M.250.I.14,9,0.36,0.060810810810810814,0.2104054054054054
D311.M.250.I.7,5,1.0,0.033783783783783786,0.5168918918918919
D311.M.250.I.B,13,0.52,0.08783783783783784,0.3039189189189189
D311.M.250.I.23,5,1.0,0.033783783783783786,0.5168918918918919
D311.M.250.I.25,16,0.64,0.10810810810810811,0.37405405405405406
D311.M.250.I.17,10,0.6666666666666666,0.06756756756756757,0.3671171171171171
D311.M.250.I.32,4,0.4,0.02702702702702703,0.21351351351351353
D311.M.250.I.31,10,0.5,0.06756756756756757,0.28378378378378377
D311.M.250.I.3,12,0.4,0.08108108108108109,0.24054054054054055
D311.M.250.I.1,12,0.6,0.08108108108108109,0.3405405405405405
D311.M.250.I.12,12,0.48,0.08108108108108109,0.28054054054054056
D311.M.250.I.20,5,0.5,0.033783783783783786,0.2668918918918919
D311.M.250.I.27,8,0.8,0.05405405405405406,0.42702702702702705
D311.M.250.I.10,10,0.6666666666666666,0.06756756756756757,0.3671171171171171
D311.M.250.I.13,20,0.5714285714285714,0.13513513513513514,0.35328185328185324
D311.M.250.I.4,19,0.6333333333333333,0.12837837837837837,0.38085585585585585
D311.M.250.I.30,2,0.4,0.013513513513513514,0.20675675675675675
