pyramid_t80_a125_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,12,0.6,0.07317073170731707,0.3365853658536585
D311.M.250.I.13,20,0.5,0.12195121951219512,0.31097560975609756
D311.M.250.I.17,17,0.68,0.10365853658536585,0.39182926829268294
D311.M.250.I.24,13,0.52,0.07926829268292683,0.2996341463414634
D311.M.250.I.26,16,0.45714285714285713,0.0975609756097561,0.27735191637630663
D311.M.250.I.28,5,0.3333333333333333,0.03048780487804878,0.18191056910569103
D311.M.250.I.15,10,0.4,0.06097560975609756,0.2304878048780488
D311.M.250.I.21,12,0.6,0.07317073170731707,0.3365853658536585
D311.M.250.I.23,6,0.6,0.036585365853658534,0.3182926829268293
D311.M.250.I.16,16,0.5333333333333333,0.0975609756097561,0.3154471544715447
D311.M.250.I.12,15,0.6,0.09146341463414634,0.34573170731707314
D311.M.250.I.16,16,0.5333333333333333,0.0975609756097561,0.3154471544715447
D311.M.250.I.6,15,0.5,0.09146341463414634,0.29573170731707316
D311.M.250.I.25,12,0.4,0.07317073170731707,0.23658536585365855
D311.M.250.I.26,16,0.45714285714285713,0.0975609756097561,0.27735191637630663
D311.M.250.I.19,10,0.5,0.06097560975609756,0.2804878048780488
D311.M.250.I.C,19,0.5428571428571428,0.11585365853658537,0.3293554006968641
D311.M.250.I.27,11,0.55,0.06707317073170732,0.3085365853658537
D311.M.250.I.19,10,0.5,0.06097560975609756,0.2804878048780488
D311.M.250.I.14,7,0.35,0.042682926829268296,0.19634146341463413
D311.M.250.I.11,1,0.2,0.006097560975609756,0.10304878048780489
D311.M.250.I.14,7,0.35,0.042682926829268296,0.19634146341463413
D311.M.250.I.7,13,0.52,0.07926829268292683,0.2996341463414634
D311.M.250.I.B,19,0.5428571428571428,0.11585365853658537,0.3293554006968641
D311.M.250.I.23,6,0.6,0.036585365853658534,0.3182926829268293
D311.M.250.I.25,12,0.4,0.07317073170731707,0.23658536585365855
D311.M.250.I.17,17,0.68,0.10365853658536585,0.39182926829268294
D311.M.250.I.32,9,0.6,0.054878048780487805,0.3274390243902439
D311.M.250.I.31,10,0.4,0.06097560975609756,0.2304878048780488
D311.M.250.I.3,18,0.5142857142857142,0.10975609756097561,0.3120209059233449
D311.M.250.I.1,9,0.36,0.054878048780487805,0.2074390243902439
D311.M.250.I.12,15,0.6,0.09146341463414634,0.34573170731707314
D311.M.250.I.20,4,0.4,0.024390243902439025,0.21219512195121953
D311.M.250.I.27,11,0.55,0.06707317073170732,0.3085365853658537
D311.M.250.I.10,16,0.5333333333333333,0.0975609756097561,0.3154471544715447
D311.M.250.I.13,20,0.5,0.12195121951219512,0.31097560975609756
D311.M.250.I.4,16,0.5333333333333333,0.0975609756097561,0.3154471544715447
D311.M.250.I.30,6,0.6,0.036585365853658534,0.3182926829268293
