pyramid_t80_a148_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,14,0.56,0.08536585365853659,0.3226829268292683
D311.M.250.I.13,16,0.45714285714285713,0.0975609756097561,0.27735191637630663
D311.M.250.I.17,9,0.36,0.054878048780487805,0.2074390243902439
D311.M.250.I.24,8,0.4,0.04878048780487805,0.22439024390243903
D311.M.250.I.26,13,0.52,0.07926829268292683,0.2996341463414634
D311.M.250.I.28,6,0.3,0.036585365853658534,0.16829268292682925
D311.M.250.I.15,14,0.4666666666666667,0.08536585365853659,0.2760162601626016
D311.M.250.I.21,14,0.56,0.08536585365853659,0.3226829268292683
D311.M.250.I.23,5,1.0,0.03048780487804878,0.5152439024390244
D311.M.250.I.16,10,0.4,0.06097560975609756,0.2304878048780488
D311.M.250.I.12,7,0.23333333333333334,0.042682926829268296,0.1380081300813008
D311.M.250.I.16,10,0.4,0.06097560975609756,0.2304878048780488
D311.M.250.I.6,13,0.52,0.07926829268292683,0.2996341463414634
D311.M.250.I.25,16,0.5333333333333333,0.0975609756097561,0.3154471544715447
D311.M.250.I.26,13,0.52,0.07926829268292683,0.2996341463414634
D311.M.250.I.19,10,0.5,0.06097560975609756,0.2804878048780488
D311.M.250.I.C,17,0.4857142857142857,0.10365853658536585,0.2946864111498258
D311.M.250.I.27,9,0.9,0.054878048780487805,0.47743902439024394
D311.M.250.I.19,10,0.5,0.06097560975609756,0.2804878048780488
D311.M.250.I.14,12,0.4,0.07317073170731707,0.23658536585365855
D311.M.250.I.11,8,0.5333333333333333,0.04878048780487805,0.2910569105691057
D311.M.250.I.14,12,0.4,0.07317073170731707,0.23658536585365855
D311.M.250.I.7,14,0.4666666666666667,0.08536585365853659,0.2760162601626016
D311.M.250.I.B,15,0.5,0.09146341463414634,0.29573170731707316
D311.M.250.I.23,5,1.0,0.03048780487804878,0.5152439024390244
D311.M.250.I.25,16,0.5333333333333333,0.0975609756097561,0.3154471544715447
D311.M.250.I.17,9,0.36,0.054878048780487805,0.2074390243902439
D311.M.250.I.32,5,0.5,0.03048780487804878,0.2652439024390244
D311.M.250.I.31,9,0.6,0.054878048780487805,0.3274390243902439
D311.M.250.I.3,14,0.35,0.08536585365853659,0.2176829268292683
D311.M.250.I.1,8,0.4,0.04878048780487805,0.22439024390243903
D311.M.250.I.12,7,0.23333333333333334,0.042682926829268296,0.1380081300813008
D311.M.250.I.20,2,0.2,0.012195121951219513,0.10609756097560977
D311.M.250.I.27,9,0.9,0.054878048780487805,0.47743902439024394
D311.M.250.I.10,10,0.5,0.06097560975609756,0.2804878048780488
D311.M.250.I.13,16,0.45714285714285713,0.0975609756097561,0.27735191637630663
D311.M.250.I.4,18,0.5142857142857142,0.10975609756097561,0.3120209059233449
D311.M.250.I.30,9,0.45,0.054878048780487805,0.2524390243902439
