pyramid_t80_a135_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,12,0.6,0.07142857142857142,0.3357142857142857
D311.M.250.I.13,21,0.525,0.125,0.325
D311.M.250.I.17,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.24,10,0.5,0.05952380952380952,0.27976190476190477
D311.M.250.I.26,10,0.3333333333333333,0.05952380952380952,0.19642857142857142
D311.M.250.I.28,9,0.45,0.05357142857142857,0.2517857142857143
D311.M.250.I.15,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.21,12,0.6,0.07142857142857142,0.3357142857142857
D311.M.250.I.23,6,0.6,0.03571428571428571,0.31785714285714284
D311.M.250.I.16,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.12,13,0.65,0.07738095238095238,0.36369047619047623
D311.M.250.I.16,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.6,12,0.48,0.07142857142857142,0.2757142857142857
D311.M.250.I.25,19,0.475,0.1130952380952381,0.29404761904761906
D311.M.250.I.26,10,0.3333333333333333,0.05952380952380952,0.19642857142857142
D311.M.250.I.19,13,0.52,0.07738095238095238,0.2986904761904762
D311.M.250.I.C,21,0.6,0.125,0.3625
D311.M.250.I.27,13,0.65,0.07738095238095238,0.36369047619047623
D311.M.250.I.19,13,0.52,0.07738095238095238,0.2986904761904762
D311.M.250.I.14,8,0.32,0.047619047619047616,0.1838095238095238
D311.M.250.I.11,7,0.4666666666666667,0.041666666666666664,0.25416666666666665
D311.M.250.I.14,8,0.32,0.047619047619047616,0.1838095238095238
D311.M.250.I.7,14,0.7,0.08333333333333333,0.39166666666666666
D311.M.250.I.B,16,0.45714285714285713,0.09523809523809523,0.2761904761904762
D311.M.250.I.23,6,0.6,0.03571428571428571,0.31785714285714284
D311.M.250.I.25,19,0.475,0.1130952380952381,0.29404761904761906
D311.M.250.I.17,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.32,10,0.5,0.05952380952380952,0.27976190476190477
D311.M.250.I.31,16,0.64,0.09523809523809523,0.3676190476190476
D311.M.250.I.3,13,0.37142857142857144,0.07738095238095238,0.2244047619047619
D311.M.250.I.1,10,0.5,0.05952380952380952,0.27976190476190477
D311.M.250.I.12,13,0.65,0.07738095238095238,0.36369047619047623
D311.M.250.I.20,5,0.5,0.02976190476190476,0.2648809523809524
D311.M.250.I.27,13,0.65,0.07738095238095238,0.36369047619047623
D311.M.250.I.10,14,0.4666666666666667,0.08333333333333333,0.275
D311.M.250.I.13,21,0.525,0.125,0.325
D311.M.250.I.4,13,0.52,0.07738095238095238,0.2986904761904762
D311.M.250.I.30,10,0.5,0.05952380952380952,0.27976190476190477
