pyramid_t80_a162_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,18,0.6,0.10714285714285714,0.35357142857142854
D311.M.250.I.13,23,0.575,0.13690476190476192,0.3559523809523809
D311.M.250.I.17,16,0.64,0.09523809523809523,0.3676190476190476
D311.M.250.I.24,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.26,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.28,9,0.45,0.05357142857142857,0.2517857142857143
D311.M.250.I.15,17,0.5666666666666667,0.10119047619047619,0.3339285714285714
D311.M.250.I.21,18,0.6,0.10714285714285714,0.35357142857142854
D311.M.250.I.23,5,0.5,0.02976190476190476,0.2648809523809524
D311.M.250.I.16,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.12,13,0.65,0.07738095238095238,0.36369047619047623
D311.M.250.I.16,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.6,18,0.6,0.10714285714285714,0.35357142857142854
D311.M.250.I.25,18,0.5142857142857142,0.10714285714285714,0.31071428571428567
D311.M.250.I.26,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.19,12,0.48,0.07142857142857142,0.2757142857142857
D311.M.250.I.C,15,0.6,0.08928571428571429,0.34464285714285714
D311.M.250.I.27,11,0.7333333333333333,0.06547619047619048,0.3994047619047619
D311.M.250.I.19,12,0.48,0.07142857142857142,0.2757142857142857
D311.M.250.I.14,7,0.35,0.041666666666666664,0.19583333333333333
D311.M.250.I.11,3,0.6,0.017857142857142856,0.30892857142857144
D311.M.250.I.14,7,0.35,0.041666666666666664,0.19583333333333333
D311.M.250.I.7,12,0.6,0.07142857142857142,0.3357142857142857
D311.M.250.I.B,16,0.64,0.09523809523809523,0.3676190476190476
D311.M.250.I.23,5,0.5,0.02976190476190476,0.2648809523809524
D311.M.250.I.25,18,0.5142857142857142,0.10714285714285714,0.31071428571428567
D311.M.250.I.17,16,0.64,0.09523809523809523,0.3676190476190476
D311.M.250.I.32,8,0.5333333333333333,0.047619047619047616,0.29047619047619044
D311.M.250.I.31,17,0.68,0.10119047619047619,0.3905952380952381
D311.M.250.I.3,19,0.4222222222222222,0.1130952380952381,0.26765873015873015
D311.M.250.I.1,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.12,13,0.65,0.07738095238095238,0.36369047619047623
D311.M.250.I.20,4,0.4,0.023809523809523808,0.21190476190476193
D311.M.250.I.27,11,0.7333333333333333,0.06547619047619048,0.3994047619047619
D311.M.250.I.10,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.13,23,0.575,0.13690476190476192,0.3559523809523809
D311.M.250.I.4,17,0.4857142857142857,0.10119047619047619,0.29345238095238096
D311.M.250.I.30,11,0.44,0.06547619047619048,0.25273809523809526
