pyramid_t80_a173_b2.5
Summary,raw,quality,coverage,comprehension
D311.M.250.I.21,12,0.4,0.07142857142857142,0.2357142857142857
D311.M.250.I.13,29,0.58,0.17261904761904762,0.37630952380952376
D311.M.250.I.17,12,0.8,0.07142857142857142,0.4357142857142857
D311.M.250.I.24,7,0.7,0.041666666666666664,0.3708333333333333
D311.M.250.I.26,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.28,6,0.4,0.03571428571428571,0.21785714285714286
D311.M.250.I.15,13,0.52,0.07738095238095238,0.2986904761904762
D311.M.250.I.21,12,0.4,0.07142857142857142,0.2357142857142857
D311.M.250.I.23,5,1.0,0.02976190476190476,0.5148809523809523
D311.M.250.I.16,9,0.6,0.05357142857142857,0.3267857142857143
D311.M.250.I.12,11,0.7333333333333333,0.06547619047619048,0.3994047619047619
D311.M.250.I.16,9,0.6,0.05357142857142857,0.3267857142857143
D311.M.250.I.6,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.25,21,0.525,0.125,0.325
D311.M.250.I.26,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.19,8,0.5333333333333333,0.047619047619047616,0.29047619047619044
D311.M.250.I.C,19,0.5428571428571428,0.1130952380952381,0.3279761904761905
D311.M.250.I.27,16,0.5333333333333333,0.09523809523809523,0.3142857142857143
D311.M.250.I.19,8,0.5333333333333333,0.047619047619047616,0.29047619047619044
D311.M.250.I.14,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.11,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.14,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.7,14,0.7,0.08333333333333333,0.39166666666666666
D311.M.250.I.B,19,0.6333333333333333,0.1130952380952381,0.3732142857142857
D311.M.250.I.23,5,1.0,0.02976190476190476,0.5148809523809523
D311.M.250.I.25,21,0.525,0.125,0.325
D311.M.250.I.17,12,0.8,0.07142857142857142,0.4357142857142857
D311.M.250.I.32,9,0.45,0.05357142857142857,0.2517857142857143
D311.M.250.I.31,14,0.56,0.08333333333333333,0.3216666666666667
D311.M.250.I.3,10,0.3333333333333333,0.05952380952380952,0.19642857142857142
D311.M.250.I.1,10,0.3333333333333333,0.05952380952380952,0.19642857142857142
D311.M.250.I.12,11,0.7333333333333333,0.06547619047619048,0.3994047619047619
D311.M.250.I.20,5,0.5,0.02976190476190476,0.2648809523809524
D311.M.250.I.27,16,0.5333333333333333,0.09523809523809523,0.3142857142857143
D311.M.250.I.10,15,0.5,0.08928571428571429,0.29464285714285715
D311.M.250.I.13,29,0.58,0.17261904761904762,0.37630952380952376
D311.M.250.I.4,16,0.45714285714285713,0.09523809523809523,0.2761904761904762
D311.M.250.I.30,11,0.55,0.06547619047619048,0.30773809523809526
