pyramid_t80_a110.0_b2.25,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,Raw-manual,,0.258140513
D0608.M.250.H.27,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.1,7,0.35,0.076086957,0.213043478,,,,,
D0608.M.250.H.35,11,0.458333333,0.119565217,0.288949275,,,,,
D0608.M.250.H.23,21,0.477272727,0.22826087,0.352766798,,,,,
D0608.M.250.H.2,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.29,14,0.4375,0.152173913,0.294836957,,,,,
D0608.M.250.H.22,22,0.785714286,0.239130435,0.51242236,,,,,
D0608.M.250.H.33,9,0.45,0.097826087,0.273913043,,,,,
D0608.M.250.H.19,12,0.6,0.130434783,0.365217391,,,,,
D0608.M.250.H.6,13,0.8125,0.141304348,0.476902174,,,,,
D0608.M.250.H.18,4,0.5,0.043478261,0.27173913,,,,,
pyramid_t80_a110.0_b1.5,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,5,0.208333333,0.054347826,0.13134058,,,,,0.08469631
D0608.M.250.H.14,15,0.625,0.163043478,0.394021739,,,,,
D0608.M.250.H.17,4,0.2,0.043478261,0.12173913,,,,,
D0608.M.250.H.10,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.25,8,0.5,0.086956522,0.293478261,,,,,
D0608.M.250.H.24,22,0.6875,0.239130435,0.463315217,,,,,
D0608.M.250.H.5,18,0.409090909,0.195652174,0.302371542,,,,,
D0608.M.250.H.28,13,0.541666667,0.141304348,0.341485507,,,,,
D0608.M.250.H.27,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.1,7,0.35,0.076086957,0.213043478,,,,,
D0608.M.250.H.35,11,0.458333333,0.119565217,0.288949275,,,,,
D0608.M.250.H.23,21,0.477272727,0.22826087,0.352766798,,,,,
D0608.M.250.H.2,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.29,14,0.4375,0.152173913,0.294836957,,,,,
D0608.M.250.H.22,22,0.785714286,0.239130435,0.51242236,,,,,
D0608.M.250.H.33,9,0.45,0.097826087,0.273913043,,,,,
D0608.M.250.H.19,12,0.6,0.130434783,0.365217391,,,,,
D0608.M.250.H.6,13,0.8125,0.141304348,0.476902174,,,,,
D0608.M.250.H.18,4,0.5,0.043478261,0.27173913,,,,,
pyramid_t80_a90.0_b1.5,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,5,0.208333333,0.054347826,0.13134058,,,,,0.08469631
D0608.M.250.H.14,15,0.625,0.163043478,0.394021739,,,,,
D0608.M.250.H.17,4,0.2,0.043478261,0.12173913,,,,,
D0608.M.250.H.10,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.25,8,0.5,0.086956522,0.293478261,,,,,
D0608.M.250.H.24,22,0.6875,0.239130435,0.463315217,,,,,
D0608.M.250.H.5,18,0.409090909,0.195652174,0.302371542,,,,,
D0608.M.250.H.28,13,0.541666667,0.141304348,0.341485507,,,,,
D0608.M.250.H.27,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.1,7,0.35,0.076086957,0.213043478,,,,,
D0608.M.250.H.35,11,0.458333333,0.119565217,0.288949275,,,,,
D0608.M.250.H.23,21,0.477272727,0.22826087,0.352766798,,,,,
D0608.M.250.H.2,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.29,14,0.4375,0.152173913,0.294836957,,,,,
D0608.M.250.H.22,22,0.785714286,0.239130435,0.51242236,,,,,
D0608.M.250.H.33,9,0.45,0.097826087,0.273913043,,,,,
D0608.M.250.H.19,12,0.6,0.130434783,0.365217391,,,,,
D0608.M.250.H.6,13,0.8125,0.141304348,0.476902174,,,,,
D0608.M.250.H.18,4,0.5,0.043478261,0.27173913,,,,,
pyramid_t80_a110.0_b2.0,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,12,0.5,0.148148148,0.324074074,,,,,0.277914759
